	Molecule Type	Target genes	count	z-score	Direction
ESR2	ligand-dependent nuclear receptor	CES1, CGA, CHST15, CHST2, CLDN1, CLDN11, CLDN4, CLEC1B, CNN1, CNNM1, COL11A1, COL13A1, COL16A1, COL1A1, COMP, CPM, CRIM1, CRYZ, CSF2, CSN2, CTNNB1, CTSD, CXCL12, CXCL8, CYP11A1, CYP17A1, CYP19A1, CYP26B1, DDAH1, DDB2, DHCR7, DKK1, DMTN, DNAH11, DNAJC1, DUSP10, EDN1, EGR1, EHMT2, ELAVL2, EMB, ENPP2, ENPP3, EPHA3, EPHA5, EREG, ESR1, EYA4, F2RL1, FADD, FAM110C, FASN, FGFR1, FHL1, FMR1, FOS, FOXA1, FOXO1, FOXO3, FZD2, GABBR2, GAD2, GALNT7, GCLC, GCSH, GFAP, GGCT, GJB1, GJB3, GLB1, GLRX, GM2A, GPSM2, GREB1, GSTA5, GSTP1, GYG1, HEBP1, HMGA2, HOXC6, HOXD11, HPGD, HSD17B3, HSD17B4, HSD17B7, HSPA2, HTR1A, IGF1, IGF1R, IGFBP4, IL1B, IL20, IL23A, IMPDH2, ITGA2, ITGB1, IVL, JUNB, KAZALD1, KCNJ3, KCNQ5, KCNT2, KLF4, KLK3, KLRC4, KRT20, KRT8, LAPTM5, LEP, LHB, LHCGR, LILRB5, LIMCH1, LMNA, LOR, LOXL4, LPL, LRP11, LRP1B, LRRN3, LTBP1, MBL2, ME2, MEGF10, MINOS1-NBL1/NBL1, MKI67, MMP1, MMP14, MMP2, MPC1, MPP7, MYC, MYCL, MYH3, MYH6, MYH7, MYOD1, NDRG2, NEDD9, NFE2L3, NID2, NIPSNAP1, NKX3-1, NOS2, NOVFZD2, NOV, OCLN, OOEP, OTUB2, OXT, PAK6, PAX7, PCBD1, PCYOX1, PDGFA, PDK4, PDLIM3, PDZK1, PERP, PGR, PGRMC2, PIBF1, PKIB, PLAC1, PLAUR, PLEC, PLIN2, PLXDC1, PMAIP1, POLD4, POU5F1, PPP1R12A, PRKCH, PRL, PSAT1, PTGDS, PTGFR, PTGIS, PTGS2, PTPRH, PTX3, PYCR1, PYGL, RAI2, RALA, RAPGEF6, RARA, RASSF2, RBP4, RELN, RETN, RHOQ, ROCK1, RP2, RPS6KA4ABCC11, ABLIM1, ACTC1, ADH7, ADORA1, AES, AGT, AK7, AKAP1, AKAP12, ANGPTL2, ANK1, ANO2, ANXA4, AP4M1, APC, APEX1, APOE, AQP3, AR, ARID4A, ARNT2, ARRDC4, ATF3, ATF5, ATP2B1, AVP, BAG1, BBC3, BCAT1, BCL2, BCL2L1, BID, BIN1, BIRC5, BMP2, BMP4, BMPR2, C3, C3orf80, CA2, CACNA1D, CADM3, CALCB, CAPN2, CAV1, CBFA2T3, CBS/LOC102724560, CCL15, CCL2, CCNA2, CCND1, CD3EAP, CD93, CDC25A, CDC42BPA, CDH1, CDH2, CDK5R1, CDKN1A, CDKN1B, CDKN1C, CEBPD, SMC2, SNAI2, SNN, SOCS2, SOCS3, SORD, SOST, SOX4, SPAG4, SPP1, SPTAN1, SRXN1, ST8SIA1, ST8SIA4, SUCLA2, SUSD4, SYNPO, TAC1, TCHHL1, TDRD5, TEAD4, TENM4, TERT, TESK1, TFF1, TGFA, TGM2, THBS4, TIGD3, TIMP1, TIMP2, TMEM182, TMEM2, TNF, TNFSF11, TNS3, TP53I11, TP53I3, TPM1, TRIB1, TRIM23, TSPAN13, TSPO, TWIST1, UBL3, UCK2, ULBP2, USP19, USP8, VAV3, VEGFA, WRAP73, ZBTB18, ZNF107ABCC11, RPS6KA4, RTN2, RUNX2, S100A9, SCARB1, SCGB3A1, SCUBE1, SELE, SEMA3F, SFRP4, SFXN3, SGK1, SKP2, SLC10A3, SLC12A4, SLC25A4, SLC2A4RG, SLC5A7, SLC9A3R1	330.0	2.3895	induced
ESRRA	ligand-dependent nuclear receptor	ABCC5, ACADM, ACADVL, ACOX1, ACSL1, ALAS1, ALDOC, ASAH1, ATP2A2, ATP5B, B4GALT6, CD36, CDH2, CHKA, CKB, CPT1B, CSAD, CSRP2, CYB5A, CYCS, CYP17A1, CYP19A1, CYP51A1, ENO1, ESRRA, ETFDH, FABP3, FAM102A, FRAT2, GAPDH, GOT1, GPR37, HADHA, HAMP, HK1, HK2, HMGCR, HMGCS1, HSD17B4, IDH3A, IDI1CHKA, IDI1, KRT13, LDHA, LDHB, LIPA, LIPE, LPL, LTF, MAOB, MINOS1, MSX1, MTCH2, MYH6, MYH7, NDUFA1, NDUFAF5, NDUFB5, NR0B2, NR1D1GAPDH, NR1D1, PCK2, PDK4, PDP1, PKM, PLIN1, PPARA, PPARG, PPARGC1A, PPM1B, PPP2R2B, PRKCD	72.0	5.239333333333334	induced
ETS1	transcription regulator	ABCB1, ANPEP, APOC2, ARHGDIB, ARL4C, ARPC2, ATP2A3, AXIN1, B4GALT5, BAX, BCL11A, BMP4, BRCA1, BTRC, CASP1, CAV1, CCDC90B, CCL2, CCL5, CCND1, CCNE1, CCNG1, CCR8, CD14, CD27, CD44, CD79A, CD79B, CDH5, CDK11A, CDK2, CDKN1A, CDKN2A, CHUK, CITED2, COL1A2, COL2A1, CRTAM, CSF1R, CSF2, CST1, CST2, CST4, CTGF, CYP24A1, DIAPH1, DNAJA3, DNTT, EEF1D, EGR1, ERBB2, ETS1, ETS2, FASLG, FCGR2A, FGFR4, FLI1, FLT1, FN1, FOXD1, FOXP3, GABRE, GP9, GSK3A, GZMA, GZMK, HCST, HGF, HMOX1, HPGD, HPSE, HS2ST1, HSPA1A/HSPA1B, HSPA1L, HSPA6, HSPA8, HSPB8, HSPE1, ICAM1, ID2, IFNG, IGF2BP3, IKZF2, IL10, IL12A, IL12B, IL17A, IL2, IL24, IL2RA, IL2RB, IL3, IL4, INSIG1, ITGA10, ITGA2B, ITGAE, ITGB2, ITGB3, ITGB6, ITK, JAK1, JUNBCHUK, JUNB, KLRG1, KRT8, LAIR1, LCK, LTB, MCL1, MDM2, MET, MGAT5, MMP1, MMP13, MMP2, MMP3, MMP7, MMP9, MRPL9, MSR1, MUC4, MUC5AC, MYB, MYC, NCF1, NCLN, NCR1, NFIL3, NKX3-1, NOS3, NPR1, NQO1GABRE, NQO1, OPRD1, PARP1, PEG10, PERP, PF4, PHF12, PHLDA2, PLAA, PLAU, PML, PRDM1, PRF1, PRIM2, PRL, PSEN1, PTHLH, PTPRN2, PVR, REN, RHOBTB3	154.0	5.321000000000001	induced
ETS2	transcription regulator	ANPEP, BCL2L1, BMP4, BRCA1, CD34, CD79A, CDKN1A, CDKN2A, CDX2, CGA, CGB (includes others), CHRNE, CSF1R, CSF3, CYP27A1, ERBB2, ESRRB, FGF1, FLT1, FOS, GSK3B, HMOX1, HPGD, HPSE, ICAM1, IL12B, IL2RA, ITGA2B, JUN, JUNBCGA, JUNB, KRT18, LYZ, MGAT5, MMP1, MMP13, MMP3, MMP9, MSR1, MYC, NOS2GSK3B, NOS2, PCSK6, PLA2G16, PLAU, PRIM2, PRL, PSEN1, PTHLH, RAF1LYZ, RAF1, SOX2, SPP1, SYK, TDP2, TERT, TFEC, TGFBR2, TIE1, TLR9, TNF, TNFSF14	62.0	4.4435	induced
EZH2	transcription regulator	FUCA1, GATA3, GATA4, GATA5, GBX2, GDF15, GPR68, GRIK5, GSTM4, HOXA10, HOXA11, HOXA6, HOXA7, HOXA9, HOXB13, HOXB5, HOXB6, HOXB8, HSD11B2, ICAM1, ICOSLG/LOC102723996, IFNB1, IFNG, IGFBP1, IGFBP3, IKZF1, IL10, IL10RA, IL11, IL12RB2, IL13, IL17A, IL18R1, IL18RAP, IL23A, IL24, IL4, IL5, IL6, ITGA1, KCNA1, KLF4, KMT2C, KRT6B, KRT81, LCN2, LTB, LYPD6B, MAL2, MCM8, MLH1, MMP7, MMP9, MNDA, MPZL2, MSX1, MYC, MYH4, MYL6, MYL6B, MYT1, MZF1, NCOA7, NFKBIA, NKD1, NKD2, NKX2-2, NLK, NME5, OXTR, PAX3, PAX7, PCDH20, PER1, PER2, PIM2, PITX2, PKMYT1, PLA2G4A, PLEKHA6, POU2F3, PPP1R12C, PPP2CB, PPP2R2B, PRG2, PRICKLE1, PRL, PRRT4, PTEN, PTGES, PTGS2, PTN, RAB6A, RAC3, RAP1GAP, RARRES3, RBM5, RNASEH1, RNF5, RPL10A, RPL13PIM2, RPL13, RUNX1, S100A4, SAA1, SAA2, SATB1, SCAMP2, SCP2, SERPINA1, SFRP2, SFRP4, SFRP5, SGPL1, SH3BP4, SIAH1, SIRT1, SLC1A3, SLC7A11, SOCS1, SOX17, SPIB, STT3A, T, TBX21, TBX3, TGFB1, TIMP3, TNF, TP53, TRIM38, UBD, WASF1, WNT1, WNT3, WNT3A, WTAP, ZMYM4AADAT, ACKR3, ACTB, ADAM10, ADRB1, ADRB2, ALOX5AP, ALPL, AMACR, ANXA6, APPBP2, ARHGAP1, ATF3, ATOH1, AXIN2, BCL2, BCL2L11, BIRC3, BMP4, BMPR1B, BRCA1, C15orf48, C3, C4BPB, CA5A, CA6, CABLES2, CCL5, CCND1, CCND2, CCND3, CCNE2, CCR5, CD70, CD82, CDC27, CDH1, CDK4, CDK6, CDKN1A, CDKN2A, CDKN2B, CDX2, CEMIP, CER1, CHRM3, CLDN10, CLEC3B, CNR1, COL4A1, CPD, CRISPLD2, CSF2, CSF3, CSF3R, CSNK1A1, CSTF2, CTNNB1, CX3CL1, CXCL1, CXCL10, CXCL11, CXCL2, CXCL8, CXCR3, CYB5R2, CYP1B1	204.0	-2.18	repressed
FGF2	growth factor	ACAN, ACE, ACTA2, ADAMTS5, AFP, AGAP3, AGTR2, AKR1B1, AKR1B10, AKT1, ALB, ANG, ANGPT1, ANGPT2, ANGPTL4, ANPEP, AQP3, AR, AREG, ATF4, BAD, BAX, BCL2, BCL2L1, BCL6, BDNF, BGLAP, BGN, BIRC5, BMP4, BTG2, CALB1, CAPZA2, CAV1, CBFB, CCK, CCL2, CCND1, CCND2, CCND3, CDC25A, CDH1, CDH11, CDKN1A, CDKN1B, CDX2, CFLAR, CHRM3, CHRM4, CIDEC, CNP, CNTF, COL1A1, COL1A2, COL3A1, CRYAB, CSF1, CSF3, CSN2, CTNNB1, CTSK, CTSL, CXCL12, CXCR4, CYP11A1, CYR61, DAD1, DCN, DDIT3, DIO3, DKK2, DLL1, DLL4, DMP1, DSPP, EDNRB, EFNB2, EGFR, EGR1, ELK1, ELN, ENO1, ENPP1, ENPP2, EPAS1, EPCAM, EPOR, ERRFI1, ETS1, ETV1, ETV5, F3, FABP4, FAS, FBN1, FDX1, FGF2, FGF3, FGFR1, FGFR2, FGFR3, FGFR4, FLNA, FLT1, FN1, FOS, FOSL1, FOXO1, FOXO3, FOXO4, FSHR, FTH1, FUT2, FUT3, GADD45A, GAP43, GBP1, GDNF, GFAP, GJA1, GLI1, GNRH1, GPNMB, GREM1, GRIA1, GRIA3, GRIK4, GRIK5, GRIN2A, GRIN2C, GRM7, HAS2, HBEGF, HGF, HIF1A, HPSE, IBSP, ICAM1, ID3, IFNE, IGF1, IGF1R, IGF2, IGFBP2, IGFBP3, IGFBP4, IGFBP5, IL1B, INHBA, IRS1, ITGA3, ITGA5, ITGB1, JUN, JUNB, KATNA1CFLAR, KATNA1, KCNC1, KDM2B, KDR, KRAS, LALBA, LECT1, LEF1, LMNA, LOX, LRP6, LYVE1, MAPT, MBP, MCAM, MDM2, MEOX2, MET, MGMT, MGP, MIF, MIP, MITF, MKI67, MMP1, MMP13, MMP2, MMP3, MMP9, MPZ, MSX1, MUC5AC, MYC, MYOD1, MYOG, NES, NEUROG3, NF1, NGFR, NOG, NOS2, NOS3, NOTCH1, NOTCH4, NOV, NPY, NR3C1, NR3C2, NR4A1, NR4A2, NTF3	207.0	6.1195	induced
FGF7	growth factor	ABCC3, ADSL, ADSS, APRT, AQP5, BCL2L1, CAD, CD44, CDK2, CDK4, CDKN1A, CDKN2A, CEBPA, CEBPD, CLCN2, CSF1, CTRB2, CYP7A1, DDX5, EGFR, ETV5, FABP5, FASN, FOXF1, FOXM1, HAS2, HAS3, HPRT1, IL1A, IL7, INS, IRF1, IRF2ABCC3, PLAU, PTAFR, RUNX2, S100A10, S100A8, SCD, SDC1, SERPINE1, SFTPA1, SFTPB, SFTPC, SFTPD, SHH, SI, SPRY2, SREBF1, STAT1	50.0	3.8369999999999997	induced
FGFR1	kinase	BGLAP, BIRC5, BMP4, BMP7, CCND1, CCND2, CDKN1A, COL1A1, DDX25, DLL1, DNAJC1, DUS2, EBI3, EEF1A1, EIF1AX, EIF3C, EIF4E, EIF4EBP1, EIF4EBP2, EIF4G1, EIF5A, EIF5B, FGF1, FGF10, FGF2, FGF3, FGF4, FGF5, FGF7, FGFR1, FGFR3, FOS, GRINA, HAMP, HAS2, HES1, HGF, IL11, IL6, JUNCOL1A1, JUN, KRTAP5-6, LEPROT, LEPROTL1, LIF, MBP, MMP1, MMP14, MMP3, MSX1, MYC, NCK1, NEUROG2, NKX2-1, NOTCH1, NR1H3, NXF1GRINA, NXF1, PCSK1, PDCD4, PDPK1, PITX1, PLAU, PLAUR, PLP1, POU2F2, PRKRA, PRSS27, PTGS1, PTGS2, PTPRA, RPS6	72.0	3.6246666666666667	induced
FGFR2	kinase	AFP, AMN, AMOT, AQP8, B4GALNT4, BAX, BCL2, BGLAP, BMP4, BMPER, CA2, CA4, CCND1, CCND2, CDH11, CDKN1A, CITED1, CLIC6, COL1A1, COL4A1, COL4A2, CPE, CTSC, CTSH, CUBN, CYP7A1, DAB2, DKK1, DLL1, DLX2, DRAM1, EFHC2, EN1, ENPEP, FAM198B, FAS, FGF10, FGF8, FGFR2, FLRT3, FN1, FOXA2, FOXQ1, FST, GATA6, GJA1, GLIPR1, GPR27, GPT2, GRB10, HES1, HHIP, HRAS, ICAM1, ID2, IGF1, IGF2, IHH, IL1A, IL1B, IL6, INHBB	62.0	3.19	induced
FLT1	kinase	ACTN4, ACTR2, ADD1, AHCY, APLP2, BCAT1, BCL7B, BIRC5, BNIP3L, BSDC1, CANX, CAPN2, CCNI, CDKN1A, CLIC4, CSNK2A1, CTBP1, DDX3X, DHCR24, DLL4, EIF2S3, EIF4B, EIF5A, EPAS1, EWSR1, FLNA, FOS, G3BP1, G3BP2, GDI2, GSK3A, HK1, HLA-B, HMOX1, ICAM1, IGF2BP3ACTN4, SMARCA4, SNAP23, SURF1, TCF4, TGFBR2, THBS1, TNFRSF10B, TNIP1, TOMM22, UBE2B, UBE2H, UBE4B, VDAC1, VPS4A, VWF, YWHAZ	52.0	2.0580000000000003	induced
FOS	transcription regulator	A2M, ABCB1, ABCC1, ACOX1, ACTG1, ADAM12, ADD2, ADNP, AFF4, AGPS, AGT, AGTR1, AKR1C3, AKR1D1, ALAS1, ALDH1A3, ALPP, AMIGO1, ANK3, ANXA4, AP3D1, APLN, APLP2, AQP3, ARF1, ARID3A, ARNT, ARPC5, ASAP1, ASL, ATF3, ATF7IP, ATP2C1, ATXN2, B4GALT1, BCAR3, BCL2L11, BCL9, BDNF, BGLAP, BLMH, C3AR1, CA2, CADM1, CALU, CAMK2D, CAMP, CAPN2, CASP3, CAST, CASZ1, CAT, CCL2, CCNA2, CCND1, CCNE1, CCNG1, CD14, CD164, CD244, CD44, CD68, CDH1, CDON, CELF2, CERS4, CFLAR, CGA, CHGA, CHI3L1, CHODL, CLDN2, CLIP1, CLU, CMTM4, COBLL1, COL16A1, COL18A1, COL1A1, COL6A1, COL8A2, CPSF1, CRABP1, CRABP2, CRB3, CREBBP, CRH, CSF3, CSTA, CTGF, CTH, CTNND1, CTSB, CTSH, CTSV, CXCL16, CXCL8, CYCS, CYP17A1, CYP2J2, DAP, DAPK2, DBH, DDX3X, DEDD, DIO2, DLG1, DNMT1, DOCK1, DSG3, E4F1, EDN1, EEA1, EGR1, EGR2, EIF4G2, ELOVL3, ELOVL6, EMB, ENAH, ENO1, EPHX2, EPS8, ERCC1, ERCC4, ERCC5, EREG, ESM1, EVX1, EZR, F3, FABP4, FAM19A1, FARS2, FASLG, FASN, FBLIM1, FBN1, FETUB, FEZ2, FGA, FGF2, FIGF, FLRT2, FMN1, FN1, FOLR2, FOS, FOSB, FOSL1, FOXA1, FOXC1, FRZB, FSHB, FSTL1, FTH1, FZD3, FZD5, FZD6, G6PC, GAK, GAS2, GATA4, GBA, GIT2, GJA1, GJB6, GKN1, GM2A, GNRHR, GPER1, GPSM2, GREB1, GRIK2, GSK3B, GSR, GSTA5, GSTP1, HAMP, HAS1, HAS2, HBA1/HBA2, HDAC6, HIPK3, HLA-B, HMMR, HMOX1, HOOK1, HOXA1, HPGD, HPGDS, HSD17B10, HSD3B1, HSD3B2, HSP90B1, HSPA5, HSPB8, HTATIP2, IBSP, ICAM1, IFNB1, IFNG, IGDCC3, IGFBP1, IGFBP5, IKBKAP, IL10, IL11, IL12B, IL1A, IL1RL1, IL2, IL23A, IL27, IL36G, IL6, IRS2, ITGA6, ITGB1, ITGB4, IVL, JUN, JUNBCERS4, JUNB, KCNN4, KIF1B, KIF2A, KIF5B, KIRREL3, KITLG, KLF6, KLHL41, KLK12, KRT13, KRT15, KRT8, LAMA3, LAMP2, LARGE, LETMD1, LGALS3, LGALS3BP, LGALS4, LHB, LIN9, LOX, LPCAT3, LPL, LRP8, LTBP1, LTBP2, LTBP3, LY6K, LYPD6, MAFK, MAOA, MAP4K4, MAPK6, MCM5, MDM2, MET, MGAT4A, MGST1, MLH1, MMP1, MMP10, MMP13, MMP2, MMP3, MMP7, MMP8, MMP9, MMRN1, MPZL2, MSLN, MT1A, MT2A, MXD1, MYC, MYH6, MYH9, MYO5B, NAE1, NAT6, NBPF10 (includes others), NCF2, NDUFS7, NET1, NFATC1, NFE2L2, NFIL3, NGF, NIPSNAP1, NOTCH4, NPLOC4, NPPA, NPPB, NPTX1, NPTX2, NPY, NQO1, NR3C1, NR3C2, NR5A2, NRIP1, NSDHL, NTS, NUBP1FTH1, NUBP1, OCIAD2, OCM, ODC1, OXTR, PAOX, PARD6B, PCDH11X, PCDH19, PCNX, PCYT2, PDE6B, PDPN, PENK, PFN1, PGAM2, PGR, PHLDA1, PIAS1, PIK3CB, PIP5K1B, PKIB, PKN1, PLA2G4A, PLAGL1, PLAT, PLAU, PLAUR, PLD1, PLK2, PMEPA1, POMC, PPP2R2A, PRCC, PRDM1, PRDX1, PRKCE, PRL, PRPF4B, PSMA2, PSMA7, PSMB3, PTCHD1, PTGDS, PTGS2, PTH1R, PTP4A1, PTP4A2, PTPN12, PTPRD, PTPRN, PTPRO, PTPRZ1, PTS, PTTG1, PXK, QKI, RAB11FIP1, RALB, RANBP9, RAP1GAP, RAPGEF3, RARA, RARG, RBBP4, RBBP7, RBP1, RFNG, RGMA, RGS4, RIPK1, RIPK4, RNH1, RPL39, RPL9, RPLP0, RPS18, RPS24, RPS6, RPS7, RPS9LTBP1, RPS9, RUNX1, RXRA, S100A10, S100A3, S100A8, S100A9, SAP18, SCD, SDC1, SDK1, SEC23B, SELENBP1, SEMA3A, SEMA3B, SEMA3E, SEMA4D, SEMA6D, SERPINB2, SERPINB7, SERPINB9, SERPINE1, SERPINE2, SFRP2, SFRP4, SFTPD, SHISA6, SIRPA, SIRT6, SLC10A2, SLC19A1, SLPI, SLURP1, SMAD5, SMAD7, SMARCD2, SMG1, SMURF1, SNAI1, SNAI2, SNAP23, SNCG, SNN, SNX3, SOCS3, SPHK1, SPP1, ST8SIA5, STAT6, STIM1, STK3, STMN1, STX11, SULF2, SULT2B1, SUMO2, SWAP70, SYT1, TAC1, TACR1, TAL1, TAOK1, TBCA, TBL1X, TCEA1, TFF1, TGFB1, TGFBI, TH, TIMP1, TIPARP, TNF, TNFRSF11A, TNFRSF11B, TNFRSF18, TNMD, TP53, TPD52A2M	467.0	3.7562499999999996	induced
FOXA2	transcription regulator	A2M, ABCA3, ABCB4, ABCC8, ACTA2, ACTC1, ACTG2, AFP, AGR2, ALAS1, ALB, ALDOB, ALOX15, ALOX5, AMY2B, APOA1, APOB, APOC3, APOM, BIRC2, C3, C5, CCL11, CCL17, CCL22, CCL24, CCND1, CCR5, CD55, CDH1, CDX2, CEBPA, CHI3L1, CLCA1, CNN1, CPT1A, CXCR4, PKM, PMCH, PNLIPRP1, PON1, PPARA, PPARG, PROS1, PTGDS, PYY, RARA, RARB, RARG, RNASE2, RORA, RORC, SAA1, SCD, SCGB1A1, SERPINA1, SFTPA1, SFTPB, SFTPD, SHH, SLC10A1, SLC2A2, SLC2A4, SLCO1B3, SOD3, SOX14, SOX17, SST, ST18	69.0	0.0	
FOXL2	transcription regulator	AMH, ATF3, AVPR2, BCL2A1, CCL20, CCL3, CCL3L3, CDKN2A, CH25H, CPM, CXCL2, CXCL3, CYP26B1, EN2, FOS, FSHB, FST, GDF9, GNRHR, GPRC5B, HRH2, ICAM1, IER3, IFNB1, IFNL1, IGF1, IL11, IL12A, INHBACH25H, INHBA, KLK9, LIF, MAFF, MRGPRE, NFATC2, NR4A3, NR5A1, NR5A2GDF9, NR5A2, OSR2, PPARGC1A, PPP1R15A, PRTN3, PTGS2, PTHLH, RGS2AMH, RGS2, RSPO3, RXFP3, SERPINB2, SMAD6, SOD2, SOX4, SOX9, SPRY1, SSX2/SSX2B	56.0	3.200999999999999	induced
FOXM1	transcription regulator	ADAM17, ANXA1, AR, ATF2, AURKB, AXIN2, BIRC5, BRIP1, BUB1B, CAV1, CCL11, CCNA2, CCNB1, CCNB2, CCND1, CCNE1, CCNE2, CCNF, CDC20, CDC25A, CDC25B, CDH1, CDH2, CDK1, CDK2, CDKN1A, CDKN1B, CDKN2A, CDKN3, CENPA, CENPB, CENPE, CENPF, CKS1B, CRP, CXCL12, CXCR3, CYP7A1, ESR1, FLT1, FOXF1, FOXM1, FZD1, GCG, GLB1, GTSE1, HSD11B2, IGF1ADAM17, SNAI1, SNAI2, STMN1, TGFBR2, TJP1, TOP2A, TP53, TWIST1, TWIST2, VCAN, VEGFA, VIM, ZEB1, ZEB2ADAM17, PLAUR, PLK1, PLK4, PRC1, RMI1, SFTPB, SFTPD, SKP2	70.0	4.622	induced
FOXO1	transcription regulator	A2M, ACACA, ACLY, ACSL5, ADIPOQ, ADIPOR1, AFF3, AGRP, AGXT, AICDA, AIFM2, ALAS1, ALDOB, ANGPT2, ANGPTL4, ANLN, APAF1, APOA5, APOC3, APOM, AQP9, AR, ASPM, ATG14, ATP5B, ATP5G3, ATP5J, ATP6V0A1, ATP6V0B, ATP6V0D2, ATP6V1D, BACH2, BANK1, BAX, BCL2, BCL2A1, BCL2L11, BCL2L13, BCL2L2, BGLAP, BID, BIRC3, BIRC5, BLNK, BRIP1, CA2, CAMK4, CASP14, CASP2, CASP6, CASP8, CCL4, CCNA2, CCNB1, CCNB2, CCND1, CCNF, CCNG2, CCR7, CD40, CD70, CD79B, CDC42EP3, CDK1, CDK5RAP3, CDKN1A, CDKN1B, CDKN1C, CDKN2AIPNL, CDKN2B, CDKN2C, CENPF, CFLAR, CIDEA, CITED2, CKMT2, CLDN5, CMC4, CS, CTGF, CTSE, CTSV, CXCL10, CXCL8, CYCS, CYP7A1, DAPK1, DCX, DDIT4, DEFB4A/DEFB4B, DEPDC1, DLGAP5, DRC7, EBF1, EDN1, EFHD1, EGR1, EGR2, EGR4, EIF4EBP1, ELOVL5, ELOVL6, EOMES, FABP2, FABP4, FAM65B, FAS, FASLG, FASN, FBXO21, FBXO32, FDPS, FOS, FOSB, FOXA2, FOXM1, FOXO1, FOXP3, FOXP4, FSHB, G6PC, GADD45A, GADD45B, GATA2, GCK, GPAM, GPD1, GPD2, GPI, GPR17, GRHPR, GZMA, HAL, HMGCR, HMOX1, HPD, HSPA5, HUS1, ICAM1, IER3, IFNG, IGF1, IGF1R, IGFBP1, IGLL1/IGLL5, IKZF1, IKZF2, IKZF5, IL15, IL17A, IL17RA, IL18, IL1B, IL22, IL6, IL7R, INS, INSR, IRF5, IRS1, IRS2, ITGA3, ITGB6, JAG1, JUN, JUNBCFLAR, JUNB, KIF11, KIF18A, KLF2, KLF4, KLF7, KLK3, LAMP2, LEFTY2, LEMD3, LEP, LHB, LHCGR, LPIN2, LPL, LTBR, MAVS, MB, MCM5, ME1, MEN1, MMP1, MMP3, MMP9, MRPL14, MRPL34, MRPL45, MRPL46, MRPL47, MRPL55, MRPL57, MRPS12, MRPS14, MRPS18A, MRPS18C, MRPS2, MRPS22, MRPS30, MRPS7, MTTP, MVD, MXI1, MYC, MYL3, MYOG, NAMPT, NCAPG, NDN, NDUFA12, NDUFA4, NDUFA7, NDUFA8, NDUFA9, NDUFAF1, NDUFAF2, NDUFAF4, NEK2, NOS3, NOV, NPC1, NPY, NUSAP1G6PC, NUSAP1, OVOL1, PAX5, PBK, PCK1, PCK2, PDHB, PDK4, PDX1, PIK3IP1, PKLR, PLSCR1, PNPLA2, POMC, POU5F1, PPARG, PPARGC1A, PPARGC1B, PPP1R15A, PRC1, PRF1, PRL, PSMB6, PSMB8, PTEN, RAB7A, RAG1, RAG2, RBL2, RELA, RICTOR, RPIA, RPS6KA3A2M, RPS6KA3, RUNX2, SCARB1, SCD, SELL, SEMA6D, SERPINE1, SESN3, SGK1, SIRT1, SLC2A4, SMAD4, SOD2, SOX2, SPC25, SQLE, SREBF1, STAT2, STAT5B	280.0	7.519666666666667	induced
FOXO3	transcription regulator	ALDH3A1, APAF1, APEX1, AQP4, AR, ATG4B, ATP6V0D2, BBC3, BCL10, BCL2L11, BECN1, BIRC5, BNIP3, BNIP3L, CAD, CASP8, CAT, CCNB1, CCND1, CCND2, CCNE2, CCNG2, CDC42EP3, CDH1, CDK4, CDKN1A, CDKN1B, CDKN1C, CDKN2B, CFLAR, CLDN1, CPT1A, CTGF, CTSV, CXCL10, CXCL8, CYR61, DDIT3, DDIT4, DEFB4A/DEFB4B, DOK5, EGR1, EGR2, EGR4, EIF4EBP1, ESR1, FASLG, FASN, FBXO32, FGFR2, FOS, FOSB, FOXM1, FOXO1, FOXO3, FOXO4, FOXP3, FSHB, GABARAPL1, GABRR2, GADD45A, GADD45B, GATA2, GLUL, GPX1, GRB14, GSTM5, GTF2I, GYPA, HBP1, HMGCR, HMGCS2, IARS, IER3, IFNB1, IFNG, IGF1, IGFBP1, IL10, IL17A, IL2, IL4, IL5, IL6, IMPDH2, IRS2, JAG1, JAK1, JUNBCFLAR, JUNB, LARS, LCN2, LEMD3, MAP1LC3A, MAX, MKI67, MMP13, MMP9, MSTN, MTHFD2, MXD1, MXD3, MXD4, MXI1, MYC, MYOCD, MYOD1, NAMPT, NFKBIA, NOL3, NOS2, NOS3GABARAPL1, NOS3, OVOL1, PIK3CA, PIK3IP1, PLAU, PLK1, PPARGC1A, PPP1R15A, PRDX3, PRDX5, PRKAA2, PRNP, PTEN, RBL2, RELA, RICTOR	128.0	3.241666666666667	induced
FOXP3	transcription regulator	AKT3, ANXA1, BBC3, BCL2, BCL2L11, BRCA1, CCR2, CCR4, CD40LG, CDKN1A, CHAF1A, CTLA4, CYSLTR1, DDB2, DUSP4, DUSP6, ENTPD1, ERBB2, EZH2, FASLG, FEN1, FGL2, FOXP3, GPR83, HLA-A, ICOS, ID2, IFNG, IKZF2, IL10, IL17A, IL1RL1, IL2, IL21, IL2RA, IL4, IL5, IL6, IL7R, IRF4, ITGAE, JMYCHAF1A, JMY, LATS2, LIG1, MAF, MAPK8, MAPK9, MGAT1, MMP2, MMP9, NFIL3, NRN1, NRP1, NT5E, NTRK3	56.0	-2.2575000000000003	repressed
